word,freq
.,67784
이,56108
영화,50737
의,30963
..,29058
가,27571
에,26772
을,23237
...,22801
도,21426
들,19028
",",17644
는,17591
를,16164
은,16093
너무,11136
?,11051
한,11003
다,10264
정말,9770
적,8756
만,8653
!,8422
진짜,8343
점,7933
으로,7933
로,7852
에서,6991
연기,6434
과,6430
평점,6324
것,6315
최고,6035
내,6012
~,5999
나,5744
그,5672
잘,5618
와,5524
안,5496
인,5487
이런,5419
스토리,5344
생각,5314
못,5299
....,5200
왜,5157
드라마,5064
게,4970
이다,4955
감동,4879
사람,4836
1,4805
하는,4741
보고,4702
하고,4682
말,4566
고,4513
아,4373
더,4367
때,4320
ㅋㅋ,4311
배우,4298
거,4139
감독,4126
그냥,4120
요,4037
본,4001
재미,3930
내용,3899
뭐,3826
중,3815
까지,3780
!!,3747
좀,3666
쓰레기,3542
보다,3531
없는,3492
시간,3446
수,3423
지,3314
네,3257
봤는데,3055
10,2994
작품,2965
사랑,2943
할,2928
없다,2868
다시,2838
하나,2838
볼,2835
마지막,2755
이건,2688
ㅋ,2672
좋은,2663
저,2579
정도,2559
입니다,2557
같은,2550
완전,2542
있는,2511
2,2494
ㅋㅋㅋ,2472
처음,2452
장면,2436
액션,2397
주인공,2382
대,2340
걸,2335
이렇게,2329
보는,2300
개,2287
ㅠㅠ,2268
최악,2268
3,2241
',2228
지금,2206
돈,2205
이야기,2174
별로,2143
임,2136
참,2134
하,2124
봐도,2122
느낌,2104
연출,2082
없고,2077
라,2067
끝,2047
명작,2041
듯,2036
인데,2031
별,2018
그리고,2013
역시,1994
기,1968
난,1935
많이,1934
서,1913
재밌게,1913
이해,1906
^^,1903
!!!,1873
ㅡㅡ,1850
이영화,1824
면,1820
라고,1811
보면,1798
또,1784
이나,1752
여자,1742
때문,1735
성,1715
부터,1703
전,1685
해서,1658
아깝다,1655
꼭,1634
편,1620
된,1619
이고,1613
보기,1612
두,1609
일,1607
에게,1606
짱,1605
여,1605
무슨,1602
기억,1596
엔,1587
결말,1579
같다,1579
야,1571
ㅎㅎ,1561
랑,1556
마음,1553
인생,1542
소재,1511
ㅠ,1510
~~,1499
넘,1497
애,1486
님,1464
없이,1456
수준,1448
영,1443
현실,1418
한다,1416
해,1411
씨,1409
한번,1403
속,1400
가장,1396
반전,1382
급,1379
제,1379
함,1376
매력,1372
라는,1370
전개,1368
;;,1363
??,1349
남자,1338
한국,1337
뿐,1332
가슴,1331
되는,1328
하지만,1310
하게,1303
알,1289
음악,1288
아이,1279
다른,1272
니,1263
원작,1252
만든,1241
줄,1240
인간,1212
냐,1200
우리,1199
추천,1193
않고,1181
눈물,1181
봤다,1180
합니다,1178
인지,1175
모든,1171
화,1166
지만,1153
번,1151
자체,1150
하지,1143
눈,1136
인가,1091
캐릭터,1075
코미디,1072
솔직히,1069
좋다,1069
ㅋㅋㅋㅋ,1068
대박,1065
처럼,1064
움,1063
했다,1056
뭔가,1056
대한,1052
모두,1049
이상,1048
전혀,1044
연기력,1035
여운,1028
이네,1027
그래도,1025
굿,1021
기대,1015
있다,1014
개봉,1010
근데,1005
공감,1003
일본,1002
아주,996
허,996
중간,995
영상,993
표현,990
),989
(,987
시리즈,983
부분,983
모습,975
자,970
그런,968
이라,958
계속,958
에는,958
제목,956
분,955
이랑,952
-,949
재밌다,949
ㅎ,943
작,941
가족,940
내내,939
;,936
OO,928
보지,928
후,926
하면,924
뭔,923
재미있게,917
진심,915
없음,914
실망,913
많은,911
봐,908
몰입,907
건지,904
어떻게,901
밖에,898
기분,893
였다,891
했는데,891
나오는,891
ㅜㅜ,886
작가,885
봤습니다,881
위,874
아니다,871
이제,867
건,866
재미없다,866
"""""",866
보면서,864
않은,863
",,",862
잼,854
공포,852
요즘,851
용,850
아니고,849
감,846
스릴러,845
아니라,844
이라는,839
점도,839
4,836
개인,833
긴장감,830
ㅡ,828
대사,816
않는,815
조금,813
하다,810
애니,807
이유,804
제대로,799
알바,799
삶,799
보다가,799
아닌,798
특히,798
아까운,797
노래,796
극장,792
욕,791
딱,787
한테,786
노잼,785
점수,783
시작,779
0,769
연,766
막장,766
아름다운,766
재밌어요,765
오랜,764
나름,760
이란,759
.....,756
시,756
이지,748
극,746
제일,745
차라리,744
놈,743
좋고,740
친구,737
에도,736
당시,732
보게,730
같이,730
