sid,gender,utterance,onset,vot,f0
s00,female,isolation,fortis,15.403059168523779,289.1050410447545
s00,female,isolation,fortis,11.418402479385513,253.14956987658925
s00,female,isolation,fortis,7.2200054475369875,255.33612668164625
s00,female,isolation,fortis,10.753237025578851,252.3882716904902
s00,female,isolation,fortis,12.803662591452865,261.07779315701436
s00,female,isolation,fortis,22.907075937840375,252.6062170197385
s00,female,isolation,lenis,67.2399748047382,199.92948506580717
s00,female,isolation,lenis,42.563640680397285,206.04863372625445
s00,female,isolation,lenis,48.538933900241695,240.7503766753918
s00,female,isolation,lenis,60.22157731666263,168.803211621731
s00,female,isolation,lenis,103.44814723640188,199.2310760893063
s00,female,isolation,lenis,100.75982771089214,253.90683330315605
s00,female,isolation,aspirated,115.19688187290511,294.46061263510353
s00,female,isolation,aspirated,58.98904535381015,312.7777293436491
s00,female,isolation,aspirated,55.45128205077961,242.5757753797625
s00,female,isolation,aspirated,66.79306102774456,244.6328040575699
s00,female,isolation,aspirated,102.70919513983218,248.30503170907238
s00,female,isolation,aspirated,98.29601413929906,246.94935968398408
s00,female,sentence,fortis,5.302685112870165,291.4566761115474
s00,female,sentence,fortis,5.693388407617602,275.3269721995489
s00,female,sentence,fortis,14.048746047197927,326.67737793835124
s00,female,sentence,fortis,6.6080468339329155,272.8807396835343
s00,female,sentence,fortis,9.203859720528412,215.45760352320167
s00,female,sentence,fortis,13.767440017003736,283.2908461735505
s00,female,sentence,lenis,34.1617590798901,238.61020135414688
s00,female,sentence,lenis,24.357224309701092,238.5949363124274
s00,female,sentence,lenis,47.287562736506175,227.4851394446012
s00,female,sentence,lenis,13.63781056239115,220.41116744095183
s00,female,sentence,lenis,61.73076445240303,226.7061668630672
s00,female,sentence,lenis,50.41079202084978,205.58661379124572
s00,female,sentence,aspirated,54.565023287642575,282.55290261042774
s00,female,sentence,aspirated,22.6117685525024,314.41533056362357
s00,female,sentence,aspirated,38.184618169435375,288.56568004587206
s00,female,sentence,aspirated,29.99915116642633,278.2753791791446
s00,female,sentence,aspirated,10.915190988849186,301.51376805944955
s00,female,sentence,aspirated,53.721152777696496,306.9550663155901
s01,female,isolation,fortis,16.4384144864969,251.81791234870371
s01,female,isolation,fortis,20.424209980111605,247.9467738372187
s01,female,isolation,fortis,8.58115491255289,229.21147927696697
s01,female,isolation,fortis,7.227612115479536,244.5054451312155
s01,female,isolation,fortis,14.444648879110018,223.38335944219892
s01,female,isolation,fortis,23.50775964141603,266.87872044953997
s01,female,isolation,lenis,78.41268466000373,208.32789260149968
